staircase.thisTrialN	tilt	key_resp.corr				absolute threshold=	2
0	-10	1					
1	8	1					
2	6	1					
3	-4	1					
4	2	0					
5	-3	1					
6	-3	1					
7	-3	1					
8	2	1					
9	-2	1					
10	2	0					
11	2.5	0					
12	-3	1					
13	-3	1					
14	-3	1					
15	2.5	1					
16	2.5	1					
17	2.5	1					
18	-2	1					
19	2	0					
20	-2.5	1					
21	2.5	1					
22	-2.5	1					
23	2	1					
24	-2	1					
25	2	1					
26	-1.5	1					
27	-1.5	1					
28	1.5	1					
29	-1	1					
30	1	1					
31	-1	1					
32	1	1					
33	-1	1					
34	-1	0					
35	1.5	1					
36	-1.5	1					
37	-1.5	1					
38	1	1					
39	-1	1					
40	-1	0					
41	1.5	1					
42	1.5	1					
43	-1.5	1					
44	1	1					
45	1	1					
46	1	1					
47	-1	1					
48	-1	1					
49	1	0					
50	-1.5	1					
51	1.5	1					
52	-1.5	1					
53	-1	1					
54	-1	1					
55	-1	0					
56	-1.5	1					
57	1.5	1					
58	-1.5	0					
59	-2	0					
60	-2.5	1					
61	2.5	1					
62	2.5	1					
63	2	1					
64	2	1					
65	-2	1					
66	1.5	1					
67	-1.5	1					
68	-1.5	1					
69	-1	1	1				
70	1	0					
71	-1.5	1					
72	1.5	0					
73	-2	1					
74	-2	1	2				
75	2	0					
76	-2.5	0					
77	3	1					
78	3	1					
79	3	1					
80	-2.5	1					
81	2.5	1					
82	2.5	1					
83	-2	1					
84	-2	1	2				
85	-2	0					
86	-2.5	1					
87	-2.5	1	2.5				
88	-2.5	0					
89	-3	0					
90	-3.5	1					
91	-3.5	1					
92	-3.5	1					
93	3	1					
94	3	1					
95	3	1					
96	2.5	1					
97	2.5	1	2.5				
98	-2.5	0					
99	3	1					
