staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.026085499999965123,,0.006737799999996241,0.026085499999965123,0.5240862999999649,0.5240862999999649,0.5412707999999498,0.8245946999999774,3.1161131999999725,left,-10.0,0,0,2.57516430000004,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
1,1,12.0,3.1395963999999594,,3.116271299999994,3.1395963999999594,3.6247346999999763,3.6247346999999763,3.6413252999999486,3.924488599999961,9.925200699999948,right,12.0,1,1,6.293984399999999,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
2,1,11.0,9.940387199999975,,9.925330599999995,9.940387199999975,10.424823199999992,10.424823199999992,10.441777799999954,10.725040699999965,13.363312899999983,left,-11.0,1,1,2.8979640000000018,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
3,1,11.0,13.371931999999958,,13.3634141,13.371931999999958,13.873751699999957,13.873751699999957,13.873751699999957,14.173575699999958,14.392237299999977,right,11.0,1,1,0.5054663999999889,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
4,1,11.0,14.407276599999989,,14.392378699999995,14.407276599999989,14.9069116,14.9069116,14.9069116,15.206955499999992,15.384550199999978,right,11.0,1,1,0.46617420000001175,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
5,1,10.0,15.405439099999967,,15.38466029999995,15.405439099999967,15.890189299999975,15.890189299999975,15.906849899999997,16.190193199999953,16.400220999999988,right,10.0,1,1,0.46012109999998074,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
6,1,10.0,16.421750999999972,,16.400321399999996,16.421750999999972,16.906731499999978,16.906731499999978,16.92371589999999,17.20676279999998,17.390671499999996,right,10.0,1,1,0.4504618999999934,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
7,1,10.0,17.40497339999996,,17.390774199999953,17.40497339999996,17.89036729999998,17.89036729999998,17.907047799999987,18.19044919999999,18.37417959999999,left,-10.0,1,1,0.48124679999995124,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
8,1,9.0,18.38947859999996,,18.374272599999983,18.38947859999996,18.873374999999953,18.873374999999953,18.890124999999955,19.17332319999997,19.432626999999968,right,9.0,1,1,0.48442450000004555,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
9,1,9.0,19.438142599999992,,19.43272829999995,19.438142599999992,19.94015889999997,19.94015889999997,19.94015889999997,20.2400662,20.390169799999967,right,9.0,1,1,0.4089785999999549,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
10,1,9.0,20.404710499999965,,20.390262699999994,20.404710499999965,20.905444499999987,20.905444499999987,20.905444499999987,21.206592299999954,21.37951129999999,left,-9.0,1,1,0.426457599999992,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
11,1,8.0,21.387983099999985,,21.37961469999999,21.387983099999985,21.8898102,21.8898102,21.8898102,22.189840499999946,22.4007661,right,8.0,1,1,0.4396532000000093,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
12,1,8.0,22.421220199999993,,22.40086409999998,22.421220199999993,22.906511299999977,22.906511299999977,22.923396799999978,23.206649899999945,23.330025199999966,right,8.0,1,1,0.4049903000000086,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
13,1,8.0,23.340131699999972,,23.33018469999996,23.340131699999972,23.839718199999993,23.839718199999993,23.839718199999993,24.1397915,24.32107499999995,left,-8.0,1,1,0.43127979999997024,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
14,1,7.0,24.338605299999983,,24.32117539999996,24.338605299999983,24.823269599999946,24.823269599999946,24.84038179999999,25.122963399999946,25.25767479999996,left,-7.0,1,1,0.4293756000000144,469137,001,2024-09-06_11h25.13.410,Adaptive staircase,2024.1.5,None,2024-09-06 11h25.20.169079 +0530,
