staircase.thisTrialN	staircase.stepSize	staircase.intensity	thisRow.t	notes	trial.started	fixation.started	grating.started	key_resp.started	fixation.stopped	grating.stopped	trial.stopped	CorrAns	tilt	key_resp.corr	staircase.response	key_resp.rt	participant	session	date	expName	psychopyVersion	frameRate	expStart
0	2	10	0.139319		0.1133939	0.139319	0.5360281	0.5360281	0.6524178	0.8384469	1.6337614	right	10	0	0	0.9178819	776554	1	2024-09-10_21h18.51.617	Adaptive staircase	2024.1.5	None	2024-09-10 21h19.04.220700 +0530
1	2	12	1.653298		1.6339327	1.653298	2.1341782	2.1341782	2.1673538	2.4363706	2.8373169	right	12	0	0	0.6529718	776554	1	2024-09-10_21h18.51.617	Adaptive staircase	2024.1.5	None	2024-09-10 21h19.04.220700 +0530
2	2	14	2.8526925		2.8374391	2.8526925	3.3368785	3.3368785	3.3529638	3.6528988	4.0018445	left	-14	0	0	0.6203005	776554	1	2024-09-10_21h18.51.617	Adaptive staircase	2024.1.5	None	2024-09-10 21h19.04.220700 +0530
3	2	16	4.017264		4.0019497	4.017264	4.5034474	4.5034474	4.520299	4.8030054	5.1883927	left	-16	0	0	0.6391082	776554	1	2024-09-10_21h18.51.617	Adaptive staircase	2024.1.5	None	2024-09-10 21h19.04.220700 +0530
4	2	18	5.2017358		5.1885449	5.2017358	5.703106	5.703106	5.703106	6.0036799	6.4029131	right	18	0	0	0.6558674	776554	1	2024-09-10_21h18.51.617	Adaptive staircase	2024.1.5	None	2024-09-10 21h19.04.220700 +0530
5	2	20	6.418807		6.4030808	6.418807	6.9023736	6.9023736	6.9197585	7.2185585	7.6054845	left	-20	0	0	0.6595526	776554	1	2024-09-10_21h18.51.617	Adaptive staircase	2024.1.5	None	2024-09-10 21h19.04.220700 +0530
6	2	20	7.6187406		7.6056267	7.6187406	8.1189791	8.1189791	8.1189791	8.4184578	8.8204831	right	20	0	0	0.6586859	776554	1	2024-09-10_21h18.51.617	Adaptive staircase	2024.1.5	None	2024-09-10 21h19.04.220700 +0530
7	2	20	8.8344725		8.8206196	8.8344725	9.3349675	9.3349675	9.3349675	9.6348112	9.9384947	left	-20	0	0	0.5630579	776554	1	2024-09-10_21h18.51.617	Adaptive staircase	2024.1.5	None	2024-09-10 21h19.04.220700 +0530
8	2	20	9.951655		9.9386155	9.951655	10.4521705	10.4521705	10.4521705	10.7519297	11.1038585	left	-20	0	0	0.6029398	776554	1	2024-09-10_21h18.51.617	Adaptive staircase	2024.1.5	None	2024-09-10 21h19.04.220700 +0530
9	2	20	11.1182813		11.1040117	11.1182813	11.6189164	11.6189164	11.6189164	11.9174995	12.3065374	right	20	0	0	0.6466814	776554	1	2024-09-10_21h18.51.617	Adaptive staircase	2024.1.5	None	2024-09-10 21h19.04.220700 +0530
